"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
1	"GBFE"	"PZ"	0.0882188709677419	"Black"	"female"	"eyes"	"Gender"
1	"GBFF"	"PZ"	-0.867964838709677	"Black"	"female"	"fore"	"Gender"
1	"GBME"	"PZ"	-3.66972096774194	"Black"	"male"	"eyes"	"Gender"
1	"GBMF"	"PZ"	-0.465156129032258	"Black"	"male"	"fore"	"Gender"
1	"GWFE"	"PZ"	-2.63835258064516	"White"	"female"	"eyes"	"Gender"
1	"GWFF"	"PZ"	-0.626479677419355	"White"	"female"	"fore"	"Gender"
1	"GWME"	"PZ"	-1.37758483870968	"White"	"male"	"eyes"	"Gender"
1	"GWMF"	"PZ"	-0.536292903225806	"White"	"male"	"fore"	"Gender"
1	"RBFE"	"PZ"	-2.14818838709677	"Black"	"female"	"eyes"	"Race"
1	"RBFF"	"PZ"	0.229580935483871	"Black"	"female"	"fore"	"Race"
1	"RBME"	"PZ"	-0.842727096774194	"Black"	"male"	"eyes"	"Race"
1	"RBMF"	"PZ"	-0.45869935483871	"Black"	"male"	"fore"	"Race"
1	"RWFE"	"PZ"	-1.65075580645161	"White"	"female"	"eyes"	"Race"
1	"RWFF"	"PZ"	-1.76768322580645	"White"	"female"	"fore"	"Race"
1	"RWME"	"PZ"	-3.85486903225806	"White"	"male"	"eyes"	"Race"
1	"RWMF"	"PZ"	-2.91024451612903	"White"	"male"	"fore"	"Race"
2	"GBFE"	"PZ"	-2.02919290322581	"Black"	"female"	"eyes"	"Gender"
2	"GBFF"	"PZ"	-2.26474129032258	"Black"	"female"	"fore"	"Gender"
2	"GBME"	"PZ"	-1.99343516129032	"Black"	"male"	"eyes"	"Gender"
2	"GBMF"	"PZ"	-1.36888838709677	"Black"	"male"	"fore"	"Gender"
2	"GWFE"	"PZ"	-2.00985322580645	"White"	"female"	"eyes"	"Gender"
2	"GWFF"	"PZ"	-0.546146774193548	"White"	"female"	"fore"	"Gender"
2	"GWME"	"PZ"	-3.40015	"White"	"male"	"eyes"	"Gender"
2	"GWMF"	"PZ"	-1.94232387096774	"White"	"male"	"fore"	"Gender"
2	"RBFE"	"PZ"	-1.9870435483871	"Black"	"female"	"eyes"	"Race"
2	"RBFF"	"PZ"	-1.40009774193548	"Black"	"female"	"fore"	"Race"
2	"RBME"	"PZ"	-5.30687741935484	"Black"	"male"	"eyes"	"Race"
2	"RBMF"	"PZ"	-2.73111	"Black"	"male"	"fore"	"Race"
2	"RWFE"	"PZ"	-3.77453741935484	"White"	"female"	"eyes"	"Race"
2	"RWFF"	"PZ"	-1.08058451612903	"White"	"female"	"fore"	"Race"
2	"RWME"	"PZ"	-2.38031032258065	"White"	"male"	"eyes"	"Race"
2	"RWMF"	"PZ"	-0.942003225806452	"White"	"male"	"fore"	"Race"
3	"GBFE"	"PZ"	-1.38606225806452	"Black"	"female"	"eyes"	"Gender"
3	"GBFF"	"PZ"	-1.58998741935484	"Black"	"female"	"fore"	"Gender"
3	"GBME"	"PZ"	-3.35424580645161	"Black"	"male"	"eyes"	"Gender"
3	"GBMF"	"PZ"	-0.750167096774194	"Black"	"male"	"fore"	"Gender"
3	"GWFE"	"PZ"	-1.05905580645161	"White"	"female"	"eyes"	"Gender"
3	"GWFF"	"PZ"	-2.09237225806452	"White"	"female"	"fore"	"Gender"
3	"GWME"	"PZ"	-1.10222483870968	"White"	"male"	"eyes"	"Gender"
3	"GWMF"	"PZ"	-0.572090322580645	"White"	"male"	"fore"	"Gender"
3	"RBFE"	"PZ"	-3.24827612903226	"Black"	"female"	"eyes"	"Race"
3	"RBFF"	"PZ"	-1.34912774193548	"Black"	"female"	"fore"	"Race"
3	"RBME"	"PZ"	-1.50558870967742	"Black"	"male"	"eyes"	"Race"
3	"RBMF"	"PZ"	-2.05752935483871	"Black"	"male"	"fore"	"Race"
3	"RWFE"	"PZ"	-0.0844537096774194	"White"	"female"	"eyes"	"Race"
3	"RWFF"	"PZ"	-0.123470225806452	"White"	"female"	"fore"	"Race"
3	"RWME"	"PZ"	-0.0214687032258065	"White"	"male"	"eyes"	"Race"
3	"RWMF"	"PZ"	-0.700928709677419	"White"	"male"	"fore"	"Race"
5	"GBFE"	"PZ"	-0.747756129032258	"Black"	"female"	"eyes"	"Gender"
5	"GBFF"	"PZ"	-1.82028161290323	"Black"	"female"	"fore"	"Gender"
5	"GBME"	"PZ"	1.87493193548387	"Black"	"male"	"eyes"	"Gender"
5	"GBMF"	"PZ"	0.560427419354839	"Black"	"male"	"fore"	"Gender"
5	"GWFE"	"PZ"	-2.56049548387097	"White"	"female"	"eyes"	"Gender"
5	"GWFF"	"PZ"	0.491294193548387	"White"	"female"	"fore"	"Gender"
5	"GWME"	"PZ"	-2.85871516129032	"White"	"male"	"eyes"	"Gender"
5	"GWMF"	"PZ"	-0.809838709677419	"White"	"male"	"fore"	"Gender"
5	"RBFE"	"PZ"	-1.64704838709677	"Black"	"female"	"eyes"	"Race"
5	"RBFF"	"PZ"	0.114979870967742	"Black"	"female"	"fore"	"Race"
5	"RBME"	"PZ"	-0.634628709677419	"Black"	"male"	"eyes"	"Race"
5	"RBMF"	"PZ"	-0.314986	"Black"	"male"	"fore"	"Race"
5	"RWFE"	"PZ"	1.67419612903226	"White"	"female"	"eyes"	"Race"
5	"RWFF"	"PZ"	-1.53672935483871	"White"	"female"	"fore"	"Race"
5	"RWME"	"PZ"	-2.00686741935484	"White"	"male"	"eyes"	"Race"
5	"RWMF"	"PZ"	-0.379178064516129	"White"	"male"	"fore"	"Race"
7	"GBFE"	"PZ"	-1.76073741935484	"Black"	"female"	"eyes"	"Gender"
7	"GBFF"	"PZ"	0.300932516129032	"Black"	"female"	"fore"	"Gender"
7	"GBME"	"PZ"	-1.12944935483871	"Black"	"male"	"eyes"	"Gender"
7	"GBMF"	"PZ"	0.263636064516129	"Black"	"male"	"fore"	"Gender"
7	"GWFE"	"PZ"	-3.23346419354839	"White"	"female"	"eyes"	"Gender"
7	"GWFF"	"PZ"	-2.24816741935484	"White"	"female"	"fore"	"Gender"
7	"GWME"	"PZ"	2.67660967741935	"White"	"male"	"eyes"	"Gender"
7	"GWMF"	"PZ"	-1.06946419354839	"White"	"male"	"fore"	"Gender"
7	"RBFE"	"PZ"	-2.18125129032258	"Black"	"female"	"eyes"	"Race"
7	"RBFF"	"PZ"	0.113691451612903	"Black"	"female"	"fore"	"Race"
7	"RBME"	"PZ"	-3.61003387096774	"Black"	"male"	"eyes"	"Race"
7	"RBMF"	"PZ"	1.40870612903226	"Black"	"male"	"fore"	"Race"
7	"RWFE"	"PZ"	-2.25548612903226	"White"	"female"	"eyes"	"Race"
7	"RWFF"	"PZ"	0.0392961741935484	"White"	"female"	"fore"	"Race"
7	"RWME"	"PZ"	-3.38162129032258	"White"	"male"	"eyes"	"Race"
7	"RWMF"	"PZ"	-1.80414612903226	"White"	"male"	"fore"	"Race"
8	"GBFE"	"PZ"	-3.26398129032258	"Black"	"female"	"eyes"	"Gender"
8	"GBFF"	"PZ"	-2.74618838709677	"Black"	"female"	"fore"	"Gender"
8	"GBME"	"PZ"	-3.62318032258065	"Black"	"male"	"eyes"	"Gender"
8	"GBMF"	"PZ"	-2.98437548387097	"Black"	"male"	"fore"	"Gender"
8	"GWFE"	"PZ"	-3.88617225806452	"White"	"female"	"eyes"	"Gender"
8	"GWFF"	"PZ"	-4.06120129032258	"White"	"female"	"fore"	"Gender"
8	"GWME"	"PZ"	-3.57652903225806	"White"	"male"	"eyes"	"Gender"
8	"GWMF"	"PZ"	-2.30329870967742	"White"	"male"	"fore"	"Gender"
