"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"CPZ"	1.57288121212121	"Black"	"female"	"eyes"
1	"BFF"	"CPZ"	-1.14569121212121	"Black"	"female"	"fore"
1	"BME"	"CPZ"	0.564813484848485	"Black"	"male"	"eyes"
1	"BMF"	"CPZ"	0.195572181818182	"Black"	"male"	"fore"
1	"WFE"	"CPZ"	-0.787122606060606	"White"	"female"	"eyes"
1	"WFF"	"CPZ"	1.51727303030303	"White"	"female"	"fore"
1	"WME"	"CPZ"	-0.704393878787879	"White"	"male"	"eyes"
1	"WMF"	"CPZ"	0.394283363636364	"White"	"male"	"fore"
2	"BFE"	"CPZ"	3.33875090909091	"Black"	"female"	"eyes"
2	"BFF"	"CPZ"	3.02156060606061	"Black"	"female"	"fore"
2	"BME"	"CPZ"	4.89706090909091	"Black"	"male"	"eyes"
2	"BMF"	"CPZ"	5.37173757575758	"Black"	"male"	"fore"
2	"WFE"	"CPZ"	5.46893212121212	"White"	"female"	"eyes"
2	"WFF"	"CPZ"	4.41846818181818	"White"	"female"	"fore"
2	"WME"	"CPZ"	1.74512636363636	"White"	"male"	"eyes"
2	"WMF"	"CPZ"	4.10082909090909	"White"	"male"	"fore"
3	"BFE"	"CPZ"	4.51784151515151	"Black"	"female"	"eyes"
3	"BFF"	"CPZ"	2.28067303030303	"Black"	"female"	"fore"
3	"BME"	"CPZ"	3.78624393939394	"Black"	"male"	"eyes"
3	"BMF"	"CPZ"	3.06308424242424	"Black"	"male"	"fore"
3	"WFE"	"CPZ"	2.93918424242424	"White"	"female"	"eyes"
3	"WFF"	"CPZ"	2.31972303030303	"White"	"female"	"fore"
3	"WME"	"CPZ"	3.4830596969697	"White"	"male"	"eyes"
3	"WMF"	"CPZ"	2.46371878787879	"White"	"male"	"fore"
5	"BFE"	"CPZ"	1.30228393939394	"Black"	"female"	"eyes"
5	"BFF"	"CPZ"	2.57597181818182	"Black"	"female"	"fore"
5	"BME"	"CPZ"	2.68616	"Black"	"male"	"eyes"
5	"BMF"	"CPZ"	3.32681696969697	"Black"	"male"	"fore"
5	"WFE"	"CPZ"	1.79568272727273	"White"	"female"	"eyes"
5	"WFF"	"CPZ"	2.1963896969697	"White"	"female"	"fore"
5	"WME"	"CPZ"	2.20869151515152	"White"	"male"	"eyes"
5	"WMF"	"CPZ"	3.72350393939394	"White"	"male"	"fore"
7	"BFE"	"CPZ"	1.18940333333333	"Black"	"female"	"eyes"
7	"BFF"	"CPZ"	0.378285909090909	"Black"	"female"	"fore"
7	"BME"	"CPZ"	1.54932363636364	"Black"	"male"	"eyes"
7	"BMF"	"CPZ"	0.469702606060606	"Black"	"male"	"fore"
7	"WFE"	"CPZ"	-0.959437272727273	"White"	"female"	"eyes"
7	"WFF"	"CPZ"	-0.556820424242424	"White"	"female"	"fore"
7	"WME"	"CPZ"	0.605130636363636	"White"	"male"	"eyes"
7	"WMF"	"CPZ"	-0.843132878787879	"White"	"male"	"fore"
