"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"CPZ"	-1.55837681818182	"Black"	"female"	"eyes"
1	"BFF"	"CPZ"	-1.20402612121212	"Black"	"female"	"fore"
1	"BME"	"CPZ"	1.76991254545455	"Black"	"male"	"eyes"
1	"BMF"	"CPZ"	2.52645515151515	"Black"	"male"	"fore"
1	"WFE"	"CPZ"	0.945554242424242	"White"	"female"	"eyes"
1	"WFF"	"CPZ"	0.298777757575758	"White"	"female"	"fore"
1	"WME"	"CPZ"	-1.83187039393939	"White"	"male"	"eyes"
1	"WMF"	"CPZ"	-2.3929726969697	"White"	"male"	"fore"
2	"BFE"	"CPZ"	2.90992212121212	"Black"	"female"	"eyes"
2	"BFF"	"CPZ"	1.44676918181818	"Black"	"female"	"fore"
2	"BME"	"CPZ"	3.11557575757576	"Black"	"male"	"eyes"
2	"BMF"	"CPZ"	1.01826051515152	"Black"	"male"	"fore"
2	"WFE"	"CPZ"	1.71361942424242	"White"	"female"	"eyes"
2	"WFF"	"CPZ"	2.6237616969697	"White"	"female"	"fore"
2	"WME"	"CPZ"	1.76945021212121	"White"	"male"	"eyes"
2	"WMF"	"CPZ"	1.62890854545455	"White"	"male"	"fore"
3	"BFE"	"CPZ"	4.35660424242424	"Black"	"female"	"eyes"
3	"BFF"	"CPZ"	4.05466363636364	"Black"	"female"	"fore"
3	"BME"	"CPZ"	6.43916121212121	"Black"	"male"	"eyes"
3	"BMF"	"CPZ"	3.29671272727273	"Black"	"male"	"fore"
3	"WFE"	"CPZ"	5.73199060606061	"White"	"female"	"eyes"
3	"WFF"	"CPZ"	2.99051090909091	"White"	"female"	"fore"
3	"WME"	"CPZ"	4.57530181818182	"White"	"male"	"eyes"
3	"WMF"	"CPZ"	3.29070939393939	"White"	"male"	"fore"
5	"BFE"	"CPZ"	-1.54231051515152	"Black"	"female"	"eyes"
5	"BFF"	"CPZ"	-0.373985666666667	"Black"	"female"	"fore"
5	"BME"	"CPZ"	-0.0620082181818182	"Black"	"male"	"eyes"
5	"BMF"	"CPZ"	-0.435170484848485	"Black"	"male"	"fore"
5	"WFE"	"CPZ"	-1.62729654545455	"White"	"female"	"eyes"
5	"WFF"	"CPZ"	-2.65072703030303	"White"	"female"	"fore"
5	"WME"	"CPZ"	-0.13242173030303	"White"	"male"	"eyes"
5	"WMF"	"CPZ"	1.42997	"White"	"male"	"fore"
7	"BFE"	"CPZ"	-0.518026545454545	"Black"	"female"	"eyes"
7	"BFF"	"CPZ"	-1.49873987878788	"Black"	"female"	"fore"
7	"BME"	"CPZ"	-0.945872878787879	"Black"	"male"	"eyes"
7	"BMF"	"CPZ"	-3.59276787878788	"Black"	"male"	"fore"
7	"WFE"	"CPZ"	0.515100909090909	"White"	"female"	"eyes"
7	"WFF"	"CPZ"	-1.34146393939394	"White"	"female"	"fore"
7	"WME"	"CPZ"	-1.89058787878788	"White"	"male"	"eyes"
7	"WMF"	"CPZ"	-0.134944987878788	"White"	"male"	"fore"
8	"BFE"	"CPZ"	-1.17095709090909	"Black"	"female"	"eyes"
8	"BFF"	"CPZ"	0.212756854545455	"Black"	"female"	"fore"
8	"BME"	"CPZ"	0.348732787878788	"Black"	"male"	"eyes"
8	"BMF"	"CPZ"	-0.204380018181818	"Black"	"male"	"fore"
8	"WFE"	"CPZ"	0.751767363636364	"White"	"female"	"eyes"
8	"WFF"	"CPZ"	-1.28354878787879	"White"	"female"	"fore"
8	"WME"	"CPZ"	-1.94229890909091	"White"	"male"	"eyes"
8	"WMF"	"CPZ"	-0.0829011272727273	"White"	"male"	"fore"
9	"BFE"	"CPZ"	-0.338241151515151	"Black"	"female"	"eyes"
9	"BFF"	"CPZ"	-1.05333281818182	"Black"	"female"	"fore"
9	"BME"	"CPZ"	0.1524274	"Black"	"male"	"eyes"
9	"BMF"	"CPZ"	2.62574409090909	"Black"	"male"	"fore"
9	"WFE"	"CPZ"	4.06667060606061	"White"	"female"	"eyes"
9	"WFF"	"CPZ"	-1.90158157575758	"White"	"female"	"fore"
9	"WME"	"CPZ"	-2.67378733333333	"White"	"male"	"eyes"
9	"WMF"	"CPZ"	-1.59738387878788	"White"	"male"	"fore"
